Name,Rating Value,Rating Count,Course,Would Take Again,Difficulty,University,Link,Score
Michael Simonton,5.0,154,Anthropology,0.96,1.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/439956,0.9040645161290322
Charlie Roetting,4.9,18,Theater,1.0,1.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1888988,0.8822105263157894
James Skaggs,4.9,100,Communication,0.94,1.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/126452,0.8770297029702971
Marissa McKinley,5.0,6,English,1.0,1.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1655161,0.8671428571428571
Kenneth Lowe,5.0,3,Engineering,1.0,1.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1900022,0.865
Karim Halty,5.0,7,World Languages amp Literatures,1.0,1.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2290782,0.8605
Tara McLendon,5.0,14,Social Work,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1615854,0.8599999999999999
Kim Johnson-Spratt,4.8,15,Sociology,1.0,1.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1042919,0.85525
Christopher Miller,5.0,6,Communication,1.0,1.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2561043,0.8551428571428571
Alyssa Appelman,5.0,14,Communication,0.91,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2081364,0.851
Sam Lapin,4.9,52,Communication,1.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/615691,0.8503396226415094
Joetta Browning,4.9,22,Mathematics,1.0,2.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/619617,0.8489565217391305
Eric Bates,5.0,131,Anthropology,0.96,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/995044,0.8437272727272727
Sharlotte Neely,4.6,65,Anthropology,1.0,2.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/126451,0.8394545454545455
Chris Christensen,5.0,61,Mathematics,1.0,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/100503,0.8391612903225806
John Alberti,4.7,35,English,1.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/148274,0.8356666666666667
Caroline Braden,4.8,3,Organizational Leadership,1.0,1.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1990696,0.835
Susan Vanlandingham,4.9,8,Poli-Science & Crim. Justice,1.0,2.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1792096,0.8346666666666667
Steven Weiss,4.7,65,Communication,1.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/701691,0.8274545454545454
Tom Edwards,3.9,23,Arts & Sciences,1.0,1.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/561193,0.8254999999999999
Katherine Kurk,4.3,29,World Languages & Literatures,1.0,2.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/565795,0.8220000000000001
Marissa Bowman,5.0,4,Film,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2835671,0.82
Barclay Green,5.0,115,English,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/387087,0.8174137931034483
Seyed Din Allameh,4.6,20,Engineering,1.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1715086,0.8117142857142856
Lori Kran,5.0,2,History,1.0,1.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2538745,0.8099999999999999
Wesley Akers,4.4,46,Communication,0.88,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/564438,0.8076170212765957
Katie Boerger,5.0,3,Management,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2275007,0.8049999999999999
Melanie Cundiff,5.0,3,Health Science,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2080540,0.8049999999999999
Lou Manchise,4.3,19,Management,1.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1130475,0.8049999999999999
David Bishop,4.6,9,Education,1.0,2.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1131160,0.8019999999999999
Rebecca Hazen,3.9,46,Psychology,1.0,2.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1244412,0.7956170212765957
Greg Procaccino,4.3,23,Theater,0.75,2.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/978690,0.7945
Robin Bartlett,4.4,57,Psychology,0.91,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/231335,0.7938275862068966
Susan Winters,4.9,8,Business,1.0,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2317319,0.7926666666666666
Emily Detmer-Goebel,4.7,17,English,1.0,2.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/808701,0.7913333333333333
Keith Collins,5.0,12,Health Science,1.0,3.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2146018,0.790923076923077
David Smith,5.0,1,Business,1.0,1.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2436874,0.79
Lezlie Stephens,5.0,1,Business,1.0,1.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2246275,0.79
Stephanie Brumer,5.0,4,Theater,1.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1821676,0.7899999999999999
Sylvain Fasciotto,4.8,4,French,1.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2297314,0.7899999999999999
Lin Sun,5.0,3,World Languages amp Literatures,1.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2327669,0.7869999999999999
Holly Riffe,4.6,14,Social Work,0.75,2.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/732856,0.7869999999999999
Julie Hart,4.5,10,Nursing,1.0,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1555065,0.7867272727272727
Nancy Jentsch,4.5,17,World Languages & Literatures,0.8,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/847086,0.7833333333333333
Connie Bruins,3.9,26,Geography,1.0,2.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1109694,0.7788888888888889
Teressa Elliott,5.0,45,Accountancy,0.95,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/925701,0.7784782608695652
Sandra Bazzani Aronne,4.6,10,Spanish,0.9,2.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2211491,0.7767272727272726
Rodney D'Souza,4.4,14,Business,1.0,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1552993,0.776
Eileen (nora) Drust,4.7,12,Communication,0.0,1.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1062552,0.7749230769230769
Annie Welch,5.0,12,Education,1.0,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2138370,0.7729230769230769
Jill Easter,4.8,17,Education,0.0,1.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/425194,0.7693333333333333
Cathy Pence,3.5,16,Nursing,1.0,2.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/617821,0.7663529411764706
Jamey Strawn,5.0,5,Theater,0.0,1.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/730674,0.766
Jeffrey Smith,4.0,13,Psychology,1.0,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/749431,0.7625714285714286
Amy Fugazzi,3.8,9,English,0.84,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1868516,0.762
Andrea Lambert,4.6,25,Communication,1.0,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/942954,0.7604615384615384
Kris Hehn,4.9,20,Sociology,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/763580,0.7597142857142858
Jim Justice,4.8,35,Mathematics,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/596977,0.7596666666666666
Julie Baker,4.8,27,Art,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/607091,0.7572857142857142
